('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         613248 function calls (588103 primitive calls) in 1.623 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
62972/62962    0.009    0.000    0.011    0.000 {built-in method builtins.isinstance}
    54651    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
51695/45985    0.007    0.000    0.008    0.000 {built-in method builtins.len}
    19986    0.007    0.000    0.010    0.000 sre_parse.py:164(__getitem__)
    17137    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
    12808    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    11972    0.012    0.000    0.012    0.000 {method 'match' of 're.Pattern' objects}
    11031    0.004    0.000    0.008    0.000 sre_parse.py:254(get)
    10105    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
9664/5992    0.002    0.000    0.004    0.000 {built-in method builtins.hash}
     9312    0.002    0.000    0.002    0.000 {built-in method builtins.min}
9069/9053    0.002    0.000    0.003    0.000 {built-in method builtins.hasattr}
     8315    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
     8174    0.003    0.000    0.005    0.000 sre_parse.py:249(match)
6460/6459    0.003    0.000    0.009    0.000 {built-in method builtins.next}
     6290    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     6020    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     5800    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     5623    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     5595    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
5534/2859    0.004    0.000    0.006    0.000 typing.py:720(__hash__)
     5426    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     5239    0.002    0.000    0.002    0.000 sre_parse.py:172(append)
     5119    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
     4882    0.003    0.000    0.005    0.000 _markupbase.py:48(updatepos)
     4559    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     4559    0.001    0.000    0.002    0.000 abc.py:96(__instancecheck__)
     4360    0.001    0.000    0.001    0.000 _exceptions.py:7(map_exceptions)
     4169    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
     4143    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
     3964    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     3658    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     3649    0.001    0.000    0.001    0.000 _connection.py:212(their_state)
 3599/385    0.006    0.000    0.008    0.000 sre_parse.py:174(getwidth)
 3581/194    0.013    0.000    0.031    0.000 sre_compile.py:71(_compile)
     3382    0.001    0.000    0.002    0.000 sre_parse.py:286(tell)
     3266    0.001    0.000    0.002    0.000 typing.py:329(__hash__)
 3040/233    0.023    0.000    0.069    0.000 sre_parse.py:493(_parse)
     2984    0.001    0.000    0.002    0.000 typing.py:646(_is_dunder)
     2984    0.003    0.000    0.005    0.000 typing.py:762(__setattr__)
2960/2898    0.003    0.000    0.023    0.000 typing.py:255(inner)
     2862    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     2843    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
     2808    0.000    0.000    0.000    0.000 element.py:1586(__bool__)
     2806    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     2765    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     2685    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
     2685    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     2509    0.002    0.000    0.005    0.000 __init__.py:586(endData)
     2498    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     2455    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     2251    0.001    0.000    0.002    0.000 css_parser.py:305(match)
     2189    0.001    0.000    0.002    0.000 element.py:2203(_normalize_search_value)
     2188    0.004    0.000    0.004    0.000 contextlib.py:82(__init__)
     2188    0.002    0.000    0.003    0.000 contextlib.py:108(__enter__)
     2188    0.002    0.000    0.006    0.000 contextlib.py:238(helper)
     2187    0.003    0.000    0.005    0.000 contextlib.py:117(__exit__)
2182/1350    0.004    0.000    0.009    0.000 element.py:2336(_matches)
     2050    0.002    0.000    0.002    0.000 element.py:156(setup)
     1937    0.001    0.000    0.001    0.000 element.py:2062(descendants)
     1849    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
     1808    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1754    0.002    0.000    0.017    0.000 element.py:2303(search)
     1668    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1586    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1477    0.000    0.000    0.000    0.000 typing.py:1149(cast)
     1465    0.001    0.000    0.001    0.000 _decoders.py:174(decode)
     1464    0.002    0.000    0.002    0.000 _receivebuffer.py:77(maybe_extract_at_most)
     1455    0.003    0.000    0.012    0.000 _connection.py:398(_extract_next_receive_event)
     1455    0.004    0.000    0.026    0.000 _connection.py:426(next_event)
1454/1453    0.004    0.000    0.008    0.000 _readers.py:157(__call__)
     1443    0.000    0.000    0.000    0.000 ssl.py:1107(_checkClosed)
     1442    0.000    0.000    0.001    0.000 _receivebuffer.py:60(__len__)
     1424    0.001    0.000    0.001    0.000 element.py:1543(get)
     1354    0.003    0.000    0.015    0.000 element.py:2240(search_tag)
     1349    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     1336    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1336    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1334    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1311    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     1254    0.005    0.000    0.014    0.000 element.py:1199(__init__)
     1254    0.003    0.000    0.003    0.000 __init__.py:572(pushTag)
     1254    0.000    0.000    0.000    0.000 __init__.py:205(can_be_empty_element)
     1254    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
     1253    0.010    0.000    0.052    0.000 parser.py:301(parse_starttag)
     1253    0.002    0.000    0.005    0.000 parser.py:352(check_for_whole_start_tag)
     1253    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
     1253    0.004    0.000    0.027    0.000 _htmlparser.py:105(handle_starttag)
     1253    0.001    0.000    0.012    0.000 _htmlparser.py:160(handle_endtag)
     1253    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
     1253    0.002    0.000    0.002    0.000 __init__.py:558(popTag)
     1253    0.003    0.000    0.006    0.000 __init__.py:688(_popToTag)
     1253    0.004    0.000    0.022    0.000 __init__.py:722(handle_starttag)
     1253    0.001    0.000    0.011    0.000 __init__.py:763(handle_endtag)
     1185    0.004    0.000    0.018    0.000 parser.py:386(parse_endtag)
     1185    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
     1180    0.000    0.000    0.000    0.000 typing.py:669(<genexpr>)
 1078/195    0.005    0.000    0.069    0.000 sre_parse.py:435(_parse_sub)
