('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         535147 function calls (516611 primitive calls) in 1.428 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      761    0.913    0.001    0.913    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.043    0.043    0.043    0.043 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.039    0.039    0.039    0.039 {method 'connect' of '_socket.socket' objects}
 3211/200    0.028    0.000    0.083    0.000 sre_parse.py:493(_parse)
       97    0.016    0.000    0.016    0.000 {method 'decompress' of 'zlib.Decompress' objects}
 3963/191    0.016    0.000    0.040    0.000 sre_compile.py:71(_compile)
      149    0.013    0.000    0.013    0.000 {built-in method marshal.loads}
        1    0.013    0.013    0.013    0.013 {built-in method _socket.getaddrinfo}
        1    0.013    0.013    0.013    0.013 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    11916    0.012    0.000    0.012    0.000 {method 'match' of 're.Pattern' objects}
     1253    0.010    0.000    0.053    0.000 parser.py:301(parse_starttag)
    21990    0.010    0.000    0.010    0.000 sre_parse.py:233(__next)
        2    0.009    0.004    0.093    0.046 parser.py:134(goahead)
      897    0.009    0.000    0.013    0.000 sre_compile.py:276(_optimize_charset)
    23168    0.008    0.000    0.011    0.000 sre_parse.py:164(__getitem__)
57201/57198    0.008    0.000    0.010    0.000 {built-in method builtins.isinstance}
      504    0.007    0.000    0.098    0.000 {built-in method builtins.__build_class__}
52142/47384    0.007    0.000    0.008    0.000 {built-in method builtins.len}
 3963/364    0.006    0.000    0.010    0.000 sre_parse.py:174(getwidth)
    59300    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
 1203/192    0.006    0.000    0.084    0.000 sre_parse.py:435(_parse_sub)
     1254    0.005    0.000    0.015    0.000 element.py:1199(__init__)
    14808    0.005    0.000    0.012    0.000 sre_parse.py:254(get)
      784    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x902780}
     3668    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
     1253    0.004    0.000    0.023    0.000 __init__.py:722(handle_starttag)
        1    0.004    0.004    0.034    0.034 dammit.py:70(_populate_class_variables)
      932    0.004    0.000    0.007    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
      795    0.004    0.000    0.004    0.000 {built-in method posix.stat}
     1253    0.004    0.000    0.028    0.000 _htmlparser.py:105(handle_starttag)
    10443    0.003    0.000    0.006    0.000 sre_parse.py:249(match)
     1185    0.003    0.000    0.018    0.000 parser.py:386(parse_endtag)
      261    0.003    0.000    0.354    0.001 {method 'read' of '_io.BufferedReader' objects}
      402    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
     1354    0.003    0.000    0.014    0.000 element.py:2240(search_tag)
2182/1350    0.003    0.000    0.008    0.000 element.py:2336(_matches)
     1253    0.003    0.000    0.006    0.000 __init__.py:688(_popToTag)
    10202    0.003    0.000    0.003    0.000 {built-in method builtins.min}
      472    0.003    0.000    0.004    0.000 css_types.py:41(__init__)
     1254    0.003    0.000    0.003    0.000 __init__.py:572(pushTag)
     4882    0.003    0.000    0.005    0.000 _markupbase.py:48(updatepos)
      9/7    0.003    0.000    0.004    0.001 {built-in method _imp.create_dynamic}
     2845    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
     9499    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
      149    0.002    0.000    0.002    0.000 {built-in method io.open_code}
     4638    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
     1253    0.002    0.000    0.002    0.000 __init__.py:558(popTag)
      761    0.002    0.000    0.918    0.001 ssl.py:1259(recv_into)
       98    0.002    0.000    0.018    0.000 response.py:122(decompress)
      761    0.002    0.000    0.921    0.001 socket.py:655(readinto)
      791    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     5286    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     2050    0.002    0.000    0.002    0.000 element.py:156(setup)
      333    0.002    0.000    0.138    0.000 re.py:289(_compile)
    11757    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     5813    0.002    0.000    0.003    0.000 sre_parse.py:172(append)
     2509    0.002    0.000    0.006    0.000 __init__.py:586(endData)
       19    0.002    0.000    0.004    0.000 enum.py:157(__new__)
     8200    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     1754    0.002    0.000    0.017    0.000 element.py:2303(search)
    166/1    0.002    0.000    1.428    1.428 {built-in method builtins.exec}
     1253    0.002    0.000    0.005    0.000 parser.py:352(check_for_whole_start_tag)
     4106    0.002    0.000    0.002    0.000 sre_parse.py:286(tell)
     2141    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      761    0.002    0.000    0.915    0.001 ssl.py:1119(read)
      897    0.001    0.000    0.002    0.000 sre_compile.py:249(_compile_charset)
     8194    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.001    0.001    0.001    0.001 models.py:906(text)
